Your application was received!,تم استلام طلبك!
%(name)s status was changed to : %(status)s,تم تغيير حالة %(name)s إلى: %(status)s
A new application is created,يتم إنشاء تطبيق جديد
A New Application : %(name)s is created,تطبيق جديد: %(name)s يتم إنشاؤه
Email Address Required,عنوان البريد الإلكتروني مطلوب
Email Id,عنوان الايميل
Email address,نوان البريد الإلكتروني
Name is Required,مطلوب اسم
"National Assembly of Kuwait",الجمعية الوطنية للكويت
"The National Assembly, is the unicameral legislature of Kuwait. The National Assembly meets in Kuwait City. Members are chosen through direct election; the country is divided into five electoral districts with ten members representing each district. There are no official political parties in Kuwait, therefore candidates run as independents during elections; upon winning, members usually form informal parliamentary blocs. The National Assembly is made up of 50 elected members as well as up to 15 appointed government ministers who are ex officio members. On October 16, 2016, the Amir of Kuwait issued a decree dissolving the National Assembly citing security challenges, paving the way for early elections within sixty days. The last election was on November 26, 2016.","والجمعية الوطنية هي الهيئة التشريعية الوحيدة العضوية في الكويت. وتجتمع الجمعية الوطنية في مدينة الكويت. ويتم اختيار الأعضاء من خلال الانتخاب المباشر؛ ينقسم البلد إلى خمس دوائر انتخابية تضم عشرة أعضاء يمثلون كل مقاطعة. لا توجد أحزاب سياسية رسمية في الكويت، وبالتالي المرشحين يديرون المستقلين خلال الانتخابات؛ عند الفوز، يشكل الأعضاء عادة كتل برلمانية غير رسمية. وتتألف الجمعية الوطنية من 50 عضوا منتخبا، بالإضافة إلى 15 من الوزراء الحكوميين المعينين الذين هم أعضاء بحكم منصبهم. في 16 أكتوبر / تشرين الأول 2016، أصدر أمير الكويت مرسوما بحل الجمعية الوطنية مشيرا إلى التحديات الأمنية، مما مهد الطريق لإجراء انتخابات مبكرة في غضون ستين يوما. وكانت آخر انتخابات في 26 نوفمبر 2016."
"The National Assembly runs by Dr. Ahmad M. AlShammari, the National Assembly is the legislature in Kuwait. The National Assembly has the power to remove government ministers from their post. MPs frequently exercise their constitutional right to interpellate government members. The National Assembly's interpellation sessions of ministers are aired on Kuwaiti TV. MPs also have the right to interpellate the prime minister, and then table a motion of non-cooperation with the government, in which case the cabinet must get replaced.","الجمعية الوطنية التي يديرها الدكتور أحمد محمد الشمري، الجمعية الوطنية هي الهيئة التشريعية في الكويت. وللمجلس الوطنى سلطة ازالة وزراء الحكومة من منصبه. وغالبا ما يمارس النواب حقهم الدستوري في استجواب أعضاء الحكومة. وتبث جلسات الجمعية الوطنية لاستجواب الوزراء على شاشة التلفزيون الكويتي. كما يتمتع النواب بالحق في استجواب رئيس الوزراء، ثم طرح اقتراح بعدم التعاون مع الحكومة، وفي هذه الحالة يجب استبدال مجلس الوزراء."
"The National Assembly can have up to 50 MPs. Fifty deputies are elected by popular vote to serve four-year terms. Members of the cabinet also sit in the parliament as deputies. The constitution limits the size of the cabinet to 16, and at least one member of the cabinet must be an elected MP. The cabinet ministers have the same rights as the elected MPs, with the following two exceptions: they do not participate in the work of committees, and they cannot vote when an interpolation leads to a no-confidence vote against one of the cabinet members.","ويمكن للجمعية الوطنية أن تضم 50 نائبا. وينتخب 50 نائبا بالاقتراع الشعبي لمدة أربع سنوات. ويجلس اعضاء مجلس الوزراء ايضا فى البرلمان كنواب. ويحد الدستور من حجم مجلس الوزراء إلى 16، ويجب أن يكون عضو واحد على الأقل من أعضاء مجلس النواب نائبا منتخبا. ولوزراء مجلس الوزراء نفس الحقوق التي يتمتع بها النواب المنتخبون، مع الاستثناءين التاليين: لا يشتركون في عمل اللجان، ولا يمكنهم التصويت عندما يؤدي الاستيفاء إلى تصويت بحجب الثقة ضد أحد أعضاء مجلس الوزراء."
The National Assembly is the main legislative power in Kuwait. The Emir can veto laws but the National Assembly can override his veto by a two-third vote. The National Assembly (per article 4 of the Constitution) has the constitutional right to approve and disapprove of an Emir's appointment. The National Assembly effectively removed Saad al-Sabah from his post in 2006 because of Saad's inability to rule due to illness. Kuwait's National Assembly is the most independent parliament in the Arab world; it is among the strongest parliaments in the Middle East.,"والجمعية الوطنية هي السلطة التشريعية الرئيسية في الكويت. ويمكن للأمير أن يستخدم حق النقض (الفيتو)، ولكن الجمعية الوطنية يمكنها أن تلغي حق النقض (الفيتو) بأغلبية الثلثين. وللجمعية الوطنية (بموجب المادة 4 من الدستور) الحق الدستوري في الموافقة على تعيين الأمير وعدم موافقته عليه. وكانت الجمعية الوطنية قد أزالت سعد الصباح من منصبه في عام 2006 بسبب عجز سعد عن الحكم بسبب المرض. إن الجمعية الوطنية الكويتية هي أكثر برلمانات العالم استقلالية، فهي من بين أقوى البرلمانات في الشرق الأوسط."
Telephone,هاتف
General,جنرال لواء
